STATUS | wrapper  | 2024/02/29 17:13:38 | WARNING: Could not write lock file /var/lock/subsys/ActiveMQ: Permission denied
STATUS | wrapper  | 2024/02/29 17:13:38 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2024/02/29 17:13:39 | Launching a JVM...
INFO   | jvm 1    | 2024/02/29 17:13:39 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2024/02/29 17:13:39 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2024/02/29 17:13:39 | 
INFO   | jvm 1    | 2024/02/29 17:13:39 | Java Runtime: Private Build 1.8.0_392 /usr/lib/jvm/java-8-openjdk-amd64/jre
INFO   | jvm 1    | 2024/02/29 17:13:39 |   Heap sizes: current=1005056k  free=957869k  max=1005056k
INFO   | jvm 1    | 2024/02/29 17:13:39 |     JVM args: -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=false -Djava.util.logging.config.file=logging.properties -Dactivemq.conf=../../conf -Dactivemq.data=../../data -Djava.security.auth.login.config=../../conf/login.config -Xms1024m -Xmx1024m -Djava.library.path=../../bin/linux-x86-64/ -Dwrapper.key=0FypPoxBC4vFZjGl -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=57438 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.service=TRUE -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2024/02/29 17:13:39 | Extensions classpath:
INFO   | jvm 1    | 2024/02/29 17:13:39 |   [../../lib,../../lib/camel,../../lib/optional,../../lib/web,../../lib/extra]
INFO   | jvm 1    | 2024/02/29 17:13:39 | ACTIVEMQ_HOME: ../..
INFO   | jvm 1    | 2024/02/29 17:13:39 | ACTIVEMQ_BASE: ../..
INFO   | jvm 1    | 2024/02/29 17:13:39 | ACTIVEMQ_CONF: ../../conf
INFO   | jvm 1    | 2024/02/29 17:13:39 | ACTIVEMQ_DATA: ../../data
INFO   | jvm 1    | 2024/02/29 17:13:40 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2024/02/29 17:13:40 |  INFO | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@3c9f6236: startup date [Thu Feb 29 17:13:40 MSK 2024]; root of context hierarchy
INFO   | jvm 1    | 2024/02/29 17:13:41 |  INFO | Using Persistence Adapter: KahaDBPersistenceAdapter[/home/parom/IdeaProjects/ActiveMQstudy/apache-activemq-5.16.7/bin/linux-x86-64/../../data/kahadb]
INFO   | jvm 1    | 2024/02/29 17:13:41 |  INFO | PListStore:[/home/parom/IdeaProjects/ActiveMQstudy/apache-activemq-5.16.7/bin/linux-x86-64/../../data/localhost/tmp_storage] started
INFO   | jvm 1    | 2024/02/29 17:13:41 |  INFO | Apache ActiveMQ 5.16.7 (localhost, ID:parominskiy-34675-1709216021410-0:1) is starting
INFO   | jvm 1    | 2024/02/29 17:13:41 |  INFO | Listening for connections at: tcp://parominskiy:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2024/02/29 17:13:41 |  INFO | Connector openwire started
INFO   | jvm 1    | 2024/02/29 17:13:41 |  INFO | Listening for connections at: amqp://parominskiy:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2024/02/29 17:13:41 |  INFO | Connector amqp started
INFO   | jvm 1    | 2024/02/29 17:13:41 |  INFO | Listening for connections at: stomp://parominskiy:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2024/02/29 17:13:41 |  INFO | Connector stomp started
INFO   | jvm 1    | 2024/02/29 17:13:41 |  INFO | Listening for connections at: mqtt://parominskiy:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2024/02/29 17:13:41 |  INFO | Connector mqtt started
INFO   | jvm 1    | 2024/02/29 17:13:41 |  INFO | Starting Jetty server
INFO   | jvm 1    | 2024/02/29 17:13:41 |  INFO | Creating Jetty connector
INFO   | jvm 1    | 2024/02/29 17:13:41 |  WARN | ServletContext@o.e.j.s.ServletContextHandler@535ae680{/,null,STARTING} has uncovered http methods for path: /
INFO   | jvm 1    | 2024/02/29 17:13:41 |  INFO | Listening for connections at ws://parominskiy:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2024/02/29 17:13:41 |  INFO | Connector ws started
INFO   | jvm 1    | 2024/02/29 17:13:41 |  INFO | Apache ActiveMQ 5.16.7 (localhost, ID:parominskiy-34675-1709216021410-0:1) started
INFO   | jvm 1    | 2024/02/29 17:13:41 |  INFO | For help or more information please see: http://activemq.apache.org
INFO   | jvm 1    | 2024/02/29 17:13:41 |  WARN | Store limit is 102400 mb (current store usage is 0 mb). The data directory: /home/parom/IdeaProjects/ActiveMQstudy/apache-activemq-5.16.7/bin/linux-x86-64/../../data/kahadb only has 6711 mb of usable space. - resetting to maximum available disk space: 6711 mb
INFO   | jvm 1    | 2024/02/29 17:13:41 |  WARN | Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: /home/parom/IdeaProjects/ActiveMQstudy/apache-activemq-5.16.7/bin/linux-x86-64/../../data only has 6711 mb of usable space. - resetting to maximum available disk space: 6711 mb
INFO   | jvm 1    | 2024/02/29 17:13:42 |  INFO | ActiveMQ WebConsole available at http://127.0.0.1:8161/
INFO   | jvm 1    | 2024/02/29 17:13:42 |  INFO | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/
